"German","English","Type","Level"
"verdruss","annoyance","M","H"
"urteilen","to judge","M","E"
"entgegnen","to reply,to retort, to oppose, to counter","M","M"
"pochen","to throb, to knock, to pulse","M","H"
"widerwärtig","disgusting, revolting","M","H"
"die Delle","dent, indentation","M","E"
"beseitigen","to remove, to eliminate","M","H"
"die Quaste","tassel","M","H"
"blass","pale","M","E"
"bleich","pale","M","E"
"ergänzen","to complete, to finish, to complete through addition","M","E"
"der Vorraten","stock, supply,reserve","M","H"
"elend","miserable, abject","M","E"
"häufen","to accumulate, to heap, to pile up","M","M"
"das Tablett","tray","M","E"
